Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Investor Count,Valuation to Funding Ratio
Fanatics,$27B,6/6/2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",21,6.75
Chime,$25B,3/5/2019,Fintech,San Francisco,United States,North America,2013,$2B,"Forerunner Ventures, Crosslink Capital, Homebrew",24,12.50
BYJU's,$22B,7/25/2017,Edtech,Bengaluru,India,Asia,2008,$4B,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",45,5.50
J&T Express,$20B,4/7/2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",9,4.00
Xiaohongshu,$20B,3/31/2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,$918M,"GGV Capital, ZhenFund, Tencent",9,21.79
Miro,$18B,1/5/2022,Internet software & services,San Francisco,United States,North America,2011,$476M,"Accel, AltaIR Capital, Technology Crossover Ventures",18,37.82
Yuanfudao,$17B,5/31/2017,Edtech,Beijing,China,Asia,2012,$4B,"Tencent Holdings, Warbug Pincus, IDG Capital",18,4.25
Rapyd,$15B,12/3/2019,Fintech,London,United Kingdom,Europe,2016,$770M,"Target Global, General Catalyst, Durable Capital Partners",21,19.48
Discord,$15B,4/20/2018,Internet software & services,San Francisco,United States,North America,2012,$979M,"Benchmark, Greylock Partners, Tencent Holdings",28,15.32
Genki Forest,$15B,3/1/2020,Consumer & retail,Beijing,China,Asia,2016,$721M,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",#N/A,20.80
goPuff,$15B,10/8/2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital",16,5.00
Blockchain.com,$14B,2/17/2021,Fintech,London,United Kingdom,Europe,2011,$490M,"Lightspeed Venture Partners, Google Ventures, Lakestar",22,28.57
Plaid,$13B,12/11/2018,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures",24,17.71
Devoted Health,$13B,10/16/2018,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock",16,6.50
OpenSea,$13B,7/20/2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",26,30.44
Grammarly,$13B,10/10/2019,Internet software & services,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital",8,32.50
Argo AI,$12B,7/12/2019,Artificial intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles",2,3.00
Northvolt,$12B,6/12/2019,Other,Stockholm,Sweden,Europe,2016,$4B,"Vattenfall, Volkswagen Group, Goldman Sachs",54,3.00
Faire,$12B,10/30/2019,Artificial intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",14,12.00
Airtable,$12B,11/15/2018,Internet software & services,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective",41,12.00
Brex,$12B,10/5/2018,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management",28,12.00
Getir,$12B,3/26/2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,"Tiger Global Management, Sequoia Capital, Revo Capital",15,6.00
Biosplice Therapeutics,$12B,8/6/2018,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech",10,15.02
Bitmain,$12B,7/6/2018,Hardware,Beijing,China,Asia,2015,$765M,"Coatue Management, Sequoia Capital China, IDG Capital",#N/A,15.69
GoodLeap,$12B,10/13/2021,Internet software & services,Roseville,United States,North America,2003,$800M,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",8,15.00
Xingsheng Selected,$12B,7/22/2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,"KKR, Tencent Holdings, Sequoia Capital China",14,2.40
ZongMu Technology,$11B,6/3/2021,Auto & transportation,Shanghai,China,Asia,2013,$376M,"LTW Capital, Legend Capital, Qualcomm Ventures",19,29.26
Bolt,$11B,5/29/2018,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,"Didi Chuxing, Diamler, TMT Investments",37,11.00
Swiggy,$11B,6/21/2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,"Accel India, SAIF Partners, Norwest Venture Partners",36,2.20
Weilong Foods,$11B,5/8/2021,Consumer & retail,Luohe,China,Asia,1999,$558M,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",#N/A,19.71
Global Switch,$11B,12/22/2016,Hardware,London,United Kingdom,Europe,1998,$5B,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",6,2.20
Bolt,$11B,10/8/2021,Fintech,San Francisco,United States,North America,2014,$1B,"Activant Capital, Tribe Capital, General Atlantic",37,11.00
Celonis,$11B,6/26/2018,Data management & analytics,Munich,Germany,Europe,2011,$1B,"Accel, 83North",13,11.00
Zuoyebang,$10B,7/18/2018,Edtech,Beijing,China,Asia,2014,$3B,"Sequoia Capital China, Xiang He Capital, GGV Capital",17,3.33
Ripple,$10B,12/20/2019,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners",34,34.01
OYO Rooms,$10B,9/25/2018,Travel,Gurugram,India,Asia,2012,$3B,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",20,3.33
OutSystems,$10B,6/5/2018,Internet software & services,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity",13,17.48
ServiceTitan,$10B,11/14/2018,Internet software & services,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",16,10.00
Alchemy,$10B,10/28/2021,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition",27,17.73
Chehaoduo,$10B,3/12/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,"Sequoia Capital China, GX Capital",35,2.50
Digital Currency Group,$10B,11/1/2021,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group",22,10.00
Figma,$10B,4/30/2020,Internet software & services,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",20,30.03
Gusto,$10B,12/18/2015,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",70,14.47
Lalamove,$10B,2/21/2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",15,5.00
Notion Labs,$10B,4/1/2020,Internet software & services,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures",17,29.15
reddit,$10B,7/31/2017,Internet software & services,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management",33,10.00
Talkdesk,$10B,10/3/2018,Internet software & services,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures",19,20.12
Thrasio,$10B,7/15/2020,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International",22,5.00
Dunamu,$9B,7/22/2021,Fintech,Seoul,South Korea,Asia,2012,$71M,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",10,126.76
Yanolja,$9B,6/10/2019,Travel,Seoul,South Korea,Asia,2005,$2B,"SBI Investment Korea, Partners Investment, GIC",11,4.50
Pony.ai,$9B,7/11/2018,Artificial intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures",25,9.00
Nuro,$9B,2/11/2019,Auto & transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital",11,4.50
Snyk,$9B,1/21/2020,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel",26,9.00
Kavak,$9B,10/1/2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,"DST Global, SoftBank Group, Mountain Nazca",16,4.50
N26,$9B,1/10/2019,Fintech,Berlin,Germany,Europe,2013,$2B,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",21,4.50
Klaviyo,$9B,11/17/2020,Internet software & services,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital",15,13.25
Niantic,$9B,11/24/2017,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital",22,11.69
Tanium,$9B,3/31/2015,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",15,11.61
Dream11,$8B,4/9/2019,Internet software & services,Mumbai,India,Asia,2007,$2B,"Kaalari Capital, Tencent Holdings, Steadview Capital",15,4.00
DJI Innovations,$8B,1/23/2015,Hardware,Shenzhen,China,Asia,2006,$105M,"Accel Partners, Sequoia Capital",7,76.19
Netskope,$8B,11/13/2018,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel",13,8.00
Razorpay,$8B,10/11/2020,Fintech,Bengaluru,India,Asia,2013,$742M,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",24,10.78
Dapper Labs,$8B,3/30/2021,Fintech,Vancouver,Canada,North America,2018,$607M,"Union Square Ventures, Venrock, Andreessen Horowitz",85,13.18
Lacework,$8B,1/7/2021,Cybersecurity,San Jose,United States,North America,2015,$2B,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",19,4.00
Tipalti,$8B,10/6/2020,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11",10,14.57
Hopin,$8B,11/10/2020,Internet software & services,London,United Kingdom,Europe,2019,$1B,"Accel, Northzone Ventures, Institutional Venture Partners",85,8.00
Caris Life Sciences,$8B,5/12/2021,Health,Irving,United States,North America,1996,$1B,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",17,8.00
Ramp,$8B,3/29/2021,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management",18,12.12
Tempus,$8B,3/21/2018,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank",10,9.76
Fireblocks,$8B,7/27/2021,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group",27,8.00
Flexport,$8B,4/30/2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital",28,4.00
National Stock Exchange of India,$7B,7/1/2020,Fintech,Mumbai,India,Asia,1998,$297M,"TA Associates, SoftBank Group, GS Growth",7,23.57
Meicai,$7B,6/22/2016,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,"Tiger Global Management, Blue Lake Capital, ZhenFund",9,7.00
Impossible Foods,$7B,5/13/2019,Consumer & retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings",38,3.50
CRED,$7B,4/6/2021,Fintech,Bengaluru,India,Asia,2018,$922M,"Tiger Global Management, DST Global, Sequoia Capital India",18,7.59
Attentive,$7B,9/23/2020,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital",12,8.11
Ola Cabs,$7B,10/27/2014,Auto & transportation,Bengaluru,India,Asia,2010,$4B,"Accel Partners, SoftBank Group, Sequoia Capital",8,1.75
Rippling,$7B,8/4/2020,Internet software & services,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",15,15.66
Carta,$7B,5/6/2019,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures",32,7.00
Toss,$7B,12/9/2018,Fintech,Seoul,South Korea,Asia,2013,$844M,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",17,8.29
Ziroom,$7B,1/17/2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,"Sequoia Capital China, Warburg Pincus, General Catalyst",12,3.50
Scale AI,$7B,8/5/2019,Artificial intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures",1,11.61
Gong,$7B,8/12/2020,Artificial intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",13,12.01
TripActions,$7B,11/8/2018,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",13,7.68
1Password,$7B,7/8/2021,Cybersecurity,Toronto,Canada,North America,2005,$920M,"Slack Fund, Accel, Skip Capital",30,7.61
Automation Anywhere,$7B,7/2/2018,Artificial intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates",8,8.24
Gemini,$7B,11/19/2021,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",15,16.51
ConsenSys,$7B,11/17/2021,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures",24,10.61
Ro,$7B,7/27/2020,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire",27,7.00
Black Unicorn Factory,$6B,5/20/2021,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures,1,9.30
Easyhome,$6B,2/12/2018,Consumer & retail,Beijing,China,Asia,1999,$2B,"Alibaba Group, Boyu Capital, Borui Capital",12,3.00
WeDoctor,$6B,9/22/2015,Health,Hangzhou,China,Asia,2010,$1B,"Tencent, Morningside Group",#N/A,6.00
SVOLT,$6B,6/8/2020,Auto & transportation,Changzhou,China,Asia,2018,$3B,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",30,2.00
Airwallex,$6B,3/25/2019,Fintech,Melbourne,Australia,Oceania,2015,$802M,"DST Global, Sequoia Capital China, Tencent Holdings",23,7.48
Deel,$6B,4/21/2021,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator",19,9.54
Mambu,$6B,1/6/2021,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,"Runa Capital, Acton Capital Partners, Point Nine Capital",10,13.39
Mollie,$6B,9/8/2020,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures,12,6.47
Doctolib,$6B,3/19/2019,Health,Paris,France,Europe,2013,$815M,"BPI France, Kerala Ventures, Accel",12,7.36
FiveTran,$6B,6/30/2020,Data management & analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst",8,8.24
Postman,$6B,6/11/2020,Internet software & services,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners",8,13.86
Back Market,$6B,5/18/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,"Aglae Ventures, Eurazeo, Daphni",12,6.00
Cityblock Health,$6B,12/10/2020,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures",17,6.73
DataRobot,$6B,7/29/2019,Artificial intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures",36,6.00
Personio,$6B,1/19/2021,Internet software & services,Munich,Germany,Europe,2015,$524M,"Global Founders Capital, Nortzone Ventures, Picus Capital",17,11.45
RELEX Solutions,$6B,2/17/2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,"Blackstone, Technology Crossover Ventures, Summit Partners",4,7.47
Vice Media,$6B,4/2/2011,Internet software & services,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks",14,6.00
Workato,$6B,1/12/2021,Internet software & services,Mountain View,United States,North America,2013,$415M,"Battery Ventures, Storm Ventures, Redpoint Ventures",11,14.46
Upgrade,$6B,2/12/2018,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital",23,10.22
Lianjia,$6B,4/7/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,"Tencent, Baidu, Huasheng Capital",15,6.00
Hinge Health,$6B,1/6/2021,Health,San Francisco,United States,North America,2015,$826M,"Atomico, Insight Partners, Coatue Management",13,7.26
Lyra Health,$6B,8/25/2020,Health,Burlingame,United States,North America,2015,$910M,"Greylock Partners, Venrock, Providence Ventures",22,6.59
Benchling,$6B,4/14/2021,Internet software & services,San Francisco,United States,North America,2012,$412M,"Thrive Capital, Benchmark, MenloVentures",29,14.56
Better.com,$6B,11/10/2020,Fintech,New York,United States,North America,2018,$405M,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2,14.81
iCapital Network,$6B,7/27/2021,Fintech,New York,United States,North America,2013,$729M,"BlackRock, Blackstone, UBS",28,8.23
Wiz,$6B,3/17/2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,$600M,"Insight Partners, Sequoia Capital, Index Ventures",10,10.00
DailyHunt,$5B,12/22/2020,Internet software & services,Bengaluru,India,Asia,2007,$869M,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",24,5.75
Howden Group Holdings,$5B,9/29/2020,Other,London,United Kingdom,Europe,1994,$187M,"General Atlantic, 3i Group, Huagai Capital",4,26.74
Meesho,$5B,4/5/2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,"Venture Highway, Sequoia Capital India, Prosus Ventures",26,5.00
Meizu Technology,$5B,7/23/2014,Hardware,Zhuhai,China,Asia,2003,$943M,"Telling Telecommunication Holding Co., Alibaba Group",4,5.30
CloudWalk Technology,$5B,10/8/2018,Artificial intelligence,Guangzhou,China,Asia,2015,$514M,"Oriza Holdings, Guangdong Technology Financial Group",#N/A,9.73
Royole Corporation,$5B,8/18/2015,Hardware,Shenzhen,China,Asia,2012,$492M,"Warmsun Holding, IDG Capital Partners",32,10.16
Monzo,$5B,10/31/2018,Fintech,London,United Kingdom,Europe,2015,$1B,"Passion Capital, Thrive Capital, Orange Digital Ventures",2,5.00
Socure,$5B,3/16/2021,Cybersecurity,New York,United States,North America,2012,$644M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",22,7.76
VIPKid,$5B,8/4/2016,Edtech,Beijing,China,Asia,2013,$1B,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",12,5.00
Vinted,$5B,11/27/2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,$562M,"Accel, Insight Partners, Burda Principal Investments",9,8.90
Lendable,$5B,3/31/2021,Fintech,London,United Kingdom,Europe,2014,$286M,"Ontario Teachers' Pension Plan, Goldman Sachs",#N/A,17.48
UBTECH Robotics,$5B,7/25/2016,Hardware,Shenzhen,China,Asia,2012,$943M,"CDH Investments, Goldstone Investments, Qiming Venture Partners",22,5.30
Anduril,$5B,9/11/2019,Artificial intelligence,Irvine,United States,North America,2017,$691M,"Andreessen Horowitz, Founders Fund, Revolution Ventures",14,7.24
Checkr,$5B,9/19/2019,Internet software & services,San Francisco,United States,North America,2014,$559M,"Y Combinator, Accel, T. Rowe Price",24,8.94
Color,$5B,1/4/2021,Health,Burlingame,United States,North America,2013,$497M,"General Catalyst, Viking Global Investors, T. Rowe Price",25,10.06
Dataiku,$5B,12/4/2019,Internet software & services,New York,United States,North America,2013,$647M,"Alven Capital, FirstMark Capital, capitalG",16,7.73
BetterUp,$5B,2/25/2021,Internet software & services,San Francisco,United States,North America,2013,$567M,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",18,8.82
Pleo,$5B,7/6/2021,Fintech,Copenhagen,Denmark,Europe,2015,$428M,"Creandum, Founders, Kinnevik",16,11.68
Trade Republic,$5B,5/20/2021,Fintech,Berlin,Germany,Europe,2015,$996M,"Founders Fund, Accel, Creandum",7,5.02
Chipone,$5B,12/16/2021,Hardware,Beijing,China,Asia,2008,$1B,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",30,5.00
Collibra,$5B,1/29/2019,Data management & analytics,Brussels,Belgium,Europe,2008,$596M,"Index Ventures, Battery Ventures, ICONIQ Capital",13,8.39
Rappi,$5B,8/31/2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,$2B,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",35,2.50
6Sense,$5B,3/30/2021,Artificial intelligence,San Francisco,United States,North America,2013,$426M,"Venrock, Battery Ventures, Insight Partners",19,11.74
Cerebral,$5B,6/10/2021,Health,San Francisco,United States,North America,2020,$462M,"Oak HC/FT Partners, Artis Ventures, WestCap Group",1,10.82
Creditas,$5B,12/18/2020,Fintech,Sao Paulo,Brazil,South America,2012,$824M,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",25,6.07
OneTrust,$5B,7/11/2019,Internet software & services,Atlanta,United States,North America,2016,$926M,Insight Partners,5,5.40
QuintoAndar,$5B,9/9/2019,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,$755M,"Kaszek Ventures, General Atlantic, SoftBank Group",16,6.62
C6 Bank,$5B,12/2/2020,Fintech,Sao Paulo,Brazil,South America,2018,$2B,Credit Suisse,16,2.50
Cockroach Labs,$5B,1/12/2021,Data management & analytics,New York,United States,North America,2015,$633M,"Google Ventures, Benchmark, FirstMark Capital",17,7.90
Hopper,$5B,3/24/2021,Travel,Montreal,Canada,North America,2007,$599M,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",18,8.35
Icertis,$5B,7/17/2019,Artificial intelligence,Bellevue,United States,North America,2009,$371M,"Eight Roads Ventures, Greycroft, Ignition Partners",12,13.48
Moon Active,$5B,1/26/2020,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,$425M,"Insight Partners, Andalusian Capital Partners",10,11.76
OfBusiness,$5B,7/31/2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$734M,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",14,6.81
Ola Electric Mobility,$5B,7/2/2019,Auto & transportation,Bengaluru,India,Asia,2019,$761M,"SoftBank Group, Tiger Global Management, Matrix Partners India",20,6.57
Pine Labs,$5B,1/24/2020,Fintech,Noida,India,Asia,1998,$903M,"Sequoia Capital India, Temasek, PayPal Ventures",25,5.54
Qonto,$5B,1/11/2022,Fintech,Paris,France,Europe,2016,$704M,"Alven Capital, Valar Ventures, Tencent Holdings",17,7.10
SambaNova Systems,$5B,4/13/2021,Data management & analytics,Palo Alto,United States,North America,2017,$1B,"Walden International, Google Ventures, Intel Capital",10,5.00
United Imaging Healthcare,$5B,9/15/2017,Health,Shanghai,China,Asia,2011,$503M,"China Life Insurance, China Development Bank Capital, CITIC Securities International",6,9.94
WM Motor,$5B,3/8/2019,Auto & transportation,Shanghai,China,Asia,2015,$4B,"Baidu Capital, Linear Venture, Tencent",35,1.25
ZEPZ,$5B,8/23/2021,Fintech,London,United Kingdom,Europe,2010,$655M,"Accel, Technology Crossover Ventures, LeapFrog Investments",9,7.63
Abogen,$4B,11/29/2021,Health,Suzhou,China,Asia,2019,$1B,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",#N/A,4.00
Greensill,$4B,7/16/2018,Fintech,London,United Kingdom,Europe,2011,$2B,"SoftBank Group, General Atlantic",2,2.00
HyalRoute,$4B,5/26/2020,Mobile & telecommunications,,Singapore,Asia,2015,$263M,Kuang-Chi,1,15.21
Radiology Partners,$4B,2/26/2018,Health,El Segundo,United States,North America,2012,$1B,"New Enterprise Associates, Starr Investment Holdings",4,4.00
Yello Mobile,$4B,11/11/2014,Mobile & telecommunications,Seoul,South Korea,Asia,2012,$216M,Formation 8,8,18.52
Turing,$4B,12/20/2021,Internet software & services,Palo Alto,United States,North America,2018,$128M,"Foundation Capital, Frontier Ventures, AltaIR Capital",91,31.25
Lenskart,$4B,12/20/2019,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,$776M,"Chiratae Ventures, PremjiInvest, Softbank",18,5.15
Kraken,$4B,6/25/2019,Fintech,San Francisco,United States,North America,2011,$119M,"Bnk To The Future, Trammell Ventures, SBI Investment",11,33.61
Horizon Robotics,$4B,2/27/2019,Artificial intelligence,Beijing,China,Asia,2015,$2B,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",56,2.00
MoonPay,$4B,11/22/2021,Fintech,Miami,United States,North America,2019,$555M,"New Enterprise Associates, Coatue Management, Tiger Global Management",6,7.21
Celsius Network,$4B,10/12/2021,Fintech,Hoboken,United States,North America,2017,$864M,"WestCap Group, Caisse de depot et placement du Quebec",4,4.63
ChargeBee Technologies,$4B,4/20/2021,Fintech,Walnut,United States,North America,2011,$468M,"Insight Partners, Tiger Global Management, Accel",6,8.55
Coalition,$4B,3/17/2021,Cybersecurity,San Francisco,United States,North America,2017,$505M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",14,7.92
Commure,$4B,9/16/2021,Internet software & services,San Francisco,United States,North America,2017,$542M,"General Catalyst, HCA Healthcare",2,7.38
Flock Safety,$4B,7/13/2021,Hardware,Atlanta,United States,North America,2017,$381M,"Matrix Partners, Initialized Capital, Tiger Global Management",15,10.50
Handshake,$4B,5/12/2021,Internet software & services,San Francisco,United States,North America,2014,$434M,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",16,9.22
Highspot,$4B,2/22/2021,Internet software & services,Seattle,United States,North America,2013,$643M,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",13,6.22
